name,address,price,psf,description,bedroom,bathroom,carpark
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 4,000",(RM 4.13 per sq. ft.),Condominium  •  Built-up : 969 sq. ft.  •  Fully furnished,3,2,2
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 4,700",(RM 3.36 per sq. ft.),"Condominium  •  Built-up : 1,399 sq. ft.",4,3,2
"Anggun Residences, KLCC","KLCC, Kuala Lumpur","RM 2,100",(RM 2.8 per sq. ft.),Condominium  •  Built-up : 751 sq. ft.  •  Fully furnished,Studio,1,1
"Star Residences Two, KLCC","KLCC, Kuala Lumpur","RM 3,800",(RM 5.26 per sq. ft.),Serviced Residence | Corner lot  •  Built-up : 722 sq. ft.  •  Fully furnished,1,1,1
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","Kampung Kerinchi (Bangsar South), Kuala Lumpur","RM 3,500",(RM 3.61 per sq. ft.),Condominium  •  Built-up : 969 sq. ft.  •  Partly furnished,3,2,1
"Star Residences Two, KLCC","KLCC, Kuala Lumpur","RM 12,000",(RM 6.67 per sq. ft.),"Serviced Residence | Penthouse  •  Built-up : 1,800 sq. ft.  •  Fully furnished",4,4,2
"Pavilion Residences, Bukit Bintang","Bukit Bintang, Kuala Lumpur","RM 7,000",(RM 5.67 per sq. ft.),"Serviced Residence  •  Built-up : 1,234 sq. ft.",2,2,1
"Savio @ Riana Dutamas, Dutamas","Dutamas, Kuala Lumpur","RM 2,200",(RM 2.58 per sq. ft.),Serviced Residence  •  Built-up : 852 sq. ft.  •  Fully furnished,2,2,1
"The Park Sky Residence, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,300",(RM 2.17 per sq. ft.),"Serviced Residence  •  Built-up : 1,061 sq. ft.  •  Partly furnished",3,2,2
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 2,200",(RM 2.36 per sq. ft.),Serviced Residence  •  Built-up : 933 sq. ft.  •  Partly furnished,3,2,1
"The Park 2, Bukit Jalil","Bukit Jalil, Kuala Lumpur","RM 1,800",(RM 2.4 per sq. ft.),Serviced Residence  •  Built-up : 750 sq. ft.  •  Partly furnished,2,1,1
"Sofiya Residensi, Desa ParkCity","Desa ParkCity, Kuala Lumpur","RM 1,600",(RM 1.86 per sq. ft.),Apartment | Intermediate  •  Built-up : 862 sq. ft.  •  Partly furnished,3,2,1
